line_number,ground_truth,transcription,cer,wer,bwer,document_id,method
1,Of Matrimonial Desertion.,Of Matrimonial Desertion.,0.0,0.0,0.0,071108002,gemini
2,It will be necessary to define what shall be deemed,It will be necessary to define what shall be deemed,0.0,0.0,0.0,071108002,gemini
3,"Desertion, distinguishing it from the case of lawful Absence;","Desertion, distinguishing it from the case of lawful Absence;",0.0,0.0,0.0,071108002,gemini
4,and what steps shall be taken for giving notice.,and what steps shall be taken for giving Notice.,0.020833333333333332,0.1111111111111111,0.1111111111111111,071108002,gemini
5,Let certain method be established whereby the Husband,Let certain methods be established whereby the Husband,0.018867924528301886,0.125,0.125,071108002,gemini
6,and the Wife may be enabled and obliged to correspond with,and the Wife may be enabled and obliged to correspond with,0.0,0.0,0.0,071108002,gemini
7,one another at stated interval: and let a failure on either part,one another at stated intervals: and let a failure on either part,0.015625,0.08333333333333333,0.08333333333333333,071108002,gemini
8,for a certain time be deemed presumptive evidence of death or,for a certain time be deemed presumptive evidence of death or,0.0,0.0,0.0,071108002,gemini
9,this,This,0.25,1.0,1.0,071108002,gemini
10,desertion. Within the dominions of the state they might be manag=,desertion. Within the dominions of the state they might be manag=,0.0,0.0,0.0,071108002,gemini
11,-:ed in the manner mentioned in the Book of procedure. Tit.,ed in the manner mentioned in the Book of Procedure. Tit.,0.05084745762711865,0.18181818181818182,0.18181818181818182,071108002,gemini
12,"As to Foreigners, upon their coming into the country","As to Foreigners, upon their coming into the country",0.0,0.0,0.0,071108002,gemini
13,let them be obliged to declare upon oath whether they are married,let them be obliged to declare upon oath whether they are married,0.0,0.0,0.0,071108002,gemini
14,"or single; and if single whether Bachelors or Spinsters, Widowers","or single; and if single whether Bachelors or Spinsters, Widowers",0.0,0.0,0.0,071108002,gemini
15,"or Widows. Of these declarations let Registers be kept, of which","or Widows. Of these declarations let Registers be kept, of which",0.0,0.0,0.0,071108002,gemini
16,"prelicous to their being married, copies should be required to be","previous to their being married, copies should be required to be",0.03076923076923077,0.09090909090909091,0.09090909090909091,071108002,gemini
17,"produced. If married, certificate of the death of the Wife or","produced. If married, certificates of the death of the Wife or",0.01639344262295082,0.09090909090909091,0.09090909090909091,071108002,gemini
18,Husband. At present these important enquiries are left to the,Husband. At present these important enquiries are left to the,0.0,0.0,0.0,071108002,gemini
19,uncertain prudence of individuals. The declarations above men:,uncertain prudence of individuals. The declarations above men:,0.0,0.0,0.0,071108002,gemini
20,­:tioned should be accompanied with some détails respecting their,:tioned should be accompanied with some détails respecting their,0.015384615384615385,0.1111111111111111,0.1111111111111111,071108002,gemini
21,"birth, parentage and last abode; such as may lead to direction","birth, parentage and last abode; such as may lead to detection
in",0.08064516129032258,0.09090909090909091,0.18181818181818182,071108002,gemini
22,in,in,0.0,0.0,0.0,071108002,gemini
