line_number,ground_truth,transcription,cer,wer,bwer,document_id,method
1,17 5,Of Simple Mercantile Defraudment,7.75,2.0,2.0,071157001,openai
2,Of Simple Merchantile Defraudment,,1.0,1.0,1.0,071157001,openai
3,more advantages than it were to be wished it had over indi:,more advantage than it were to be wished it had over indi-,0.03389830508474576,0.16666666666666666,0.16666666666666666,071157001,openai
4,:gent merit: and an artificial arrangement of this sort would,,1.0,1.0,1.0,071157001,openai
5,add to the natural incitements which urge a man from all,gent merit: and an artificial arrangement of this sort would,0.8392857142857143,1.0,1.0,071157001,openai
6,quarters to seek the acquirement of wealth by dishonesty,,1.0,1.0,1.0,071157001,openai
7,and other unworthy means. As to the affections of the peo:,add to the natural incitements which urge a man from all,0.7586206896551724,1.0,0.8181818181818182,071157001,openai
8,less numerous class over the more numerous will na:,,1.0,1.0,1.0,071157001,openai
9,real: for a man in responsible circumstances may probably,quarters to seek the acquirement of wealth by dishonesty,0.8596491228070176,1.0,1.0,071157001,openai
10,in point of fact suffer as much by being deprived of part,,1.0,1.0,1.0,071157001,openai
11,"of his property, considering the share of reputation that",and other unworthy means. As to the affections of the peo-,0.7894736842105263,1.0,1.0,071157001,openai
12,"goes along with it, as a man in irresponsible circumstances",,1.0,1.0,1.0,071157001,openai
13,:nishment: and if both were to undergo the same corporal,"ple, so striking and oppressive a preference given to the",0.8571428571428571,1.0,0.7,071157001,openai
14,"punishment, the punishment, that is the suffering, though",,1.0,1.0,1.0,071157001,openai
15,":ter.] But this distinction , however real, is too subtle to be gene:",less numerous class over the more numerous will na-,0.7536231884057971,1.0,1.0,071157001,openai
16,"The difference, it is true, is rather apparent than",,1.0,1.0,1.0,071157001,openai
17,would be by being made to undergo a severe corporal pu:,turally be but ill relished by the latter.,0.7818181818181819,0.9090909090909091,0.8181818181818182,071157001,openai
18,nominally [the same ] would in reality be much greater to the lat:,,1.0,1.0,1.0,071157001,openai
19,:rally,"The difference, it is true, is rather apparent than",8.166666666666666,9.0,9.0,071157001,openai
20,":ple, so striking and oppressive a preference given to the",,1.0,1.0,1.0,071157001,openai
21,:turally be but ill relished by the latter.,real: for a man in responsible circumstances may probably,1.0465116279069768,1.125,1.125,071157001,openai
22,"equal, very much the reverse.",,1.0,1.0,1.0,071157001,openai
23,C,in point of fact suffer as much by being deprived of part,57.0,12.0,12.0,071157001,openai
