line_number,ground_truth,prediction,cer,wer,bwer
1,founder's Law. 8. The Chymists Law &c. &c.,Founder's Law. 8. The Chymists Law &c. &c.,0.023809523809523808,0.125,0.125
2,6. From Storms. See the Seafaring-man's Law Sect. Con-,6. From Storms. See the Seafaring-man's Law Sect. 1. com.,0.1111111111111111,0.2222222222222222,0.2222222222222222
3,:cerning Storms.,.cerning Storms.,0.0625,0.5,0.5
4,7. From the Plague and other infectious diseases. See Laws,7. From the Plague and other infectious diseases. See Laws,0.0,0.0,0.0
5,concerning the Plague &c.,concerning the Plague &c.,0.0,0.0,0.0
6,8. From Persons insane: See Laws concerning persons,O. From Persons insane: The laws concerning persons,0.0784313725490196,0.375,0.375
7,Maniac's Law,Maniac's Law,0.0,0.0,0.0
8,insane or 1. The Madman's Law: 2. The Ideot's Law. 2. The,insane or. 1. The Aristocracies. 2. The Idols Laws. 2. The,0.3333333333333333,0.4166666666666667,0.4166666666666667
9,Instructions to the Legislator.,Instructions to the Legislator.,0.0,0.0,0.0
10,It is not clear that in every one of the several titles of,It is not clear that in every one of the several titles of,0.0,0.0,0.0
11,Law above mentioned there will need a provision or set of,Law above mentioned there will need a provision or set of,0.0,0.0,0.0
12,provisions  authorising one person to trespass upon the per-,provisions authorising one person to trespass upon the per,0.03333333333333333,0.2222222222222222,0.2222222222222222
13,:son of another. To determine that question with respect to,son of another. To determine that question with respect to,0.01694915254237288,0.1,0.1
14,any of them would be to enter upon a branch of Law fo:,any of them would be to enter upon a branch of law fo,0.037037037037037035,0.15384615384615385,0.15384615384615385
15,:reign to that in hand. Nor with respect to every one of,reign to that in hand. Nor with respect to every one of,0.017857142857142856,0.08333333333333333,0.08333333333333333
16,these titles could such provisions be exhibited in terminis ,these titles could such provisions be exhibited in terminis,0.016666666666666666,0.1111111111111111,0.1111111111111111
17,in any book of universal Law: since they will need to be,in any book of universal Law: since they will need to be,0.0,0.0,0.0
18,different according to the various local circumstances of dif:,different according to the various local circumstances of dif,0.016129032258064516,0.1111111111111111,0.1111111111111111
19,:ferent states and provinces. The above references are exhi:,ferent states and provinces. The above references are such:,0.08333333333333333,0.2222222222222222,0.2222222222222222
20,:bited only in the way of example  to give a general idea),limited only in the way of example  to give a general idea,0.06896551724137931,0.16666666666666666,0.16666666666666666
21,of the mode of reference to be adopted on an occa:,of the mode of reference to be adopted on an,0.12,0.09090909090909091,0.09090909090909091
22,:sion  like the present.,sion  like the present.,0.041666666666666664,0.25,0.25
23,of,occa,1.5,1.0,1.0
24,In like manner  neither is it clear that the names,In like manner neither is it clear that the names,0.02,0.1,0.1
25,Of Justifications.,Justifications.,0.16666666666666666,0.5,0.5
26,C,,1.0,1.0,1.0
27,7.,7.,0.0,0.0,0.0
