line_number,ground_truth,prediction,cer,wer,bwer
1,C,,1.0,1.0,1.0
2,23.,,1.0,1.0,1.0
3,Of Semi-public Offences in General.,Of Semi-public Offences in General.,0.0,0.0,0.0
4,persons or destroys the property of particular individuals among the,persons or destroys the property of particular individuals among the,0.0,0.0,0.0
5,Jews he may be not only punished criminally for the calumny,Jews he may be not only punished criminally for the calumny,0.0,0.0,0.0
6,thrown on the Sect  but made civilly responsible for the particular,thrown on the Sect  but made civilly responsible for the particular,0.0,0.0,0.0
7,mischief done to the individual Jews whose persons or property,mischief done to the individual Jews whose persons or property,0.0,0.0,0.0
8,were thus attacked.,were thus attacked.,0.0,0.0,0.0
9,As to any farther particulars relative to this head  they,As to any farther particulars relative to this head  they,0.0,0.0,0.0
10,of a local nature; and are without the limits of the present under=,of a local nature: and stand without the limits of the present index,0.11940298507462686,0.23076923076923078,0.23076923076923078
11,:taking work.,to being work.,0.38461538461538464,1.0,1.0
12,must depend upon the particular class in question. They are therefore,must depend upon the particular clas in question. They are therefor,0.028985507246376812,0.18181818181818182,0.18181818181818182
13,stand,stand,0.0,0.0,0.0
14,of men,of men,0.0,0.0,0.0
