line_number,ground_truth,prediction,transkribus,cer,wer,bwer
1,keit gottes vmbſcheyn vnß da wir diſen landen zuͦ kamē,keit gottes vmbscheyn vnß da wir diſen landen zū kamē,keit gottes vmbscheyn vnß da wir disen landen zū kamen,0.05555555555555555,0.3,0.3
2,den̄ vns was abgangen an holtz an waſſer/ vnnd hetten,den̄ vns was abgangen an holtz an waſſer/ vnnd hetten,den̄ vns was abgangen an holtz an wasser / vnnd hetten,0.0,0.0,0.0
3,noch wenig tag moͤgen bliben/ vnd vff dem mere vnßer,noch wenig tag moͤgen bliben/ vnd vff dem mere vnßer,noch wenig tag moͤgen bliben / vnd vff dem mere vnßer,0.0,0.0,0.0
4,leben enthalten/ Im ſie ere vnd glorig vnd danck geſagt/,leben enthalten/ Im ſie ere vnd gloria vnd danck gesagt/,leben enthalten / Im sie ere vnd gloria vnd danck gesagt /,0.03571428571428571,0.2,0.2
5,Wir wurden da zerate dz wir fuͦrē nach dem begriff des,Wir wurden da zerate das wir füren nach dem begriff des,Wir wurden da zerate das wir füren nach dem begriff des,0.1111111111111111,0.18181818181818182,0.18181818181818182
6,ſtaden vn̄ des lands diſer lantſchafft gegē der Sonnen,ſtaden vn̄ des lands diſer lantſchafft gegen der Sonnen,staden vn des lands diser lantschafft gegen der Sonnen,0.037037037037037035,0.1111111111111111,0.1111111111111111
7,vffgang vn̄ die anſehung ſolichs lands nyemer ze laſſen/,vffgang vn die anſehung ſolichs lands nyemer ze laſſen/,vffgang vn die ansehung solichs lands nyemer ze lassen ,0.017857142857142856,0.1111111111111111,0.1111111111111111
8,Und zuͦ ſtundan durch fuͦren wir das/ damit wir kamē,End zu ſtundan durch füren wir das/ damit wir kamē,End zu stundan durch füren wir das / damit wir kamen,0.07692307692307693,0.4,0.4
9,zuͦ einem winckel/ da das land eyn inkere machet gegen,zu einem winckel/ da das land eyn inkere machet gegen,zu einem winckel/ da das land eyn inkere machet gegen,0.018518518518518517,0.1,0.1
10,mittag vnd von der ſtatt da wir am erſten das land traf,mittag vnd von der statt da wir am erſten das land traf,mittag vnd von der statt da wir am ersten das land traf,0.01818181818181818,0.08333333333333333,0.08333333333333333
11,fen biß zuͦ diſem winckel waren by dryhundert welſcher,fen biß zu diſem winckel waren by dreyhundert welſcher,fen biß zu disem winckel waren by dryhundert welscher,0.037037037037037035,0.2222222222222222,0.2222222222222222
12,mile/ vnd in zyt dißer ſchiffung ſind wir zuͦ dickern̄ malē,male/vnd in zyt dißer ſchiffung ſind wir zu dickern male,male / vnd in zyt dißer schiffung sind wir zu dickern malen,0.0847457627118644,0.45454545454545453,0.45454545454545453
13,zuͦ land gefaren vnd haben früntlich geſprech vnnd wan,zu land gefaren vnd haben fruntlich geſprech vnnd wan,zu land gefaren vnd haben fruntlich gesprech vnnd wan,0.037037037037037035,0.2222222222222222,0.2222222222222222
14,del mit dem ſelben volck gehept als du hienach vernemen,del mit dem ſelben volck gehept als du hienach vernemen,del mit dem selben volck gehept als du hienach vernemen,0.0,0.0,0.0
15,wirdeſt/ Mir was vergeſſen dir ze ſchriben das von dem,wirdest/ Mir was vergeſſen dir ze ſchriben das von dem,wirdest  Mir was vergessen dir ze schriben das von dem,0.018518518518518517,0.1,0.1
16,hochgebirg des grünē houpts biß zuͦ anfang diſer bewo¬,hochgebirg des grüne houpts biß zu anfang diser bewon¬,hochgebirg des grüne houpts biß zu anfang diser bewon¬,0.07407407407407407,0.4444444444444444,0.4444444444444444
17,den landtſchafft ſind by Sibenhundert welſcher milen,den landtschafft ſind by Sibenhundert welſcher múlen,den landtschafft sind by Sibenhundert welscher milen,0.038461538461538464,0.2857142857142857,0.2857142857142857
18,Wie wol ich meyn das wir me den̄ Tuſent vn̄ achthun¬,Wie wol ich meyn das wir me den Luſent vn achthun¬,Wie wol ich meyn das wir me den Lusent vn achthun¬,0.057692307692307696,0.2727272727272727,0.2727272727272727
19,dert mile gefaren ſo von vnwiſſenheyt d̓ ſtetten vn̄ ſchiff¬,dert mile gefaren ſo von vnwissenheyt ſtætten vn̄ ſchiff¬,dert mile gefaren so von vnwissenheyt stetten vn̄ schiff¬,0.1,0.3,0.3
20,meiſters ſo von vngewitter vnd von winden verhindert,meisters ſo von vngewitter vnd von winden verhindert,meisters so von vngewitter vnd von winden verhindert,0.019230769230769232,0.125,0.125
21,die vnßern ſchlechten weg widertriben zuͦ ſtetten vnd vil,die vnſern ſchlechten weg widertriben zü ſtettē vnd vil,die vnsern schlechten weg widertriben zu stetten vnd vil,0.08771929824561403,0.3333333333333333,0.3333333333333333
22,abwendungen/ Den̄ wen min geſellen ir gemüt vnd ver.,abwendungen./(Den wen min geſellen ir gemút vnd ver.,abwendungen / Senn wen min gesellen ir gemut vnd ver-,0.07692307692307693,0.3333333333333333,0.3333333333333333
23,truwen nit zuͦ mir geſetzt hetten/ ſo mir bekantlich was d̓,truwen nit zu mir gesetzt hetten/ ſo mir bekantlich was 8,truwen nit zu mir gesetzt hetten  so mir bekantlich was 8,0.06779661016949153,0.2727272727272727,0.2727272727272727
24,groſſen welt lantſterlugūg vnd gelegenheit ſo weis kein,groſſen welt lantſterlugung vnd gelegenheit ſo weis kein,grossen welt lantsterlugung vnd gelegenheit so weis kein,0.03636363636363636,0.125,0.125
25,ſchiffman oder wegwiſer vnßer fart der ioch by fünffhū,ſchiffman oder wegwiſer vnßer fart der ioch by funffhū,schiffman oder wegwiser vnßer fart der ioch by funffhun,0.018518518518518517,0.1111111111111111,0.1111111111111111
