line_number,ground_truth,prediction,transkribus,cer,wer,bwer
1,It glucklicher fart Am vier,Ir glucklicher fart Flm v̄ber,It glucklicher hart Flm vier,0.18518518518518517,0.6,0.6
2,zehenden tag des monats Mayen/ Tu¬,zehenden tag des monats Mayen / Tͦus,zehenden tag des monats Mayen / Lu¬,0.08823529411764706,0.5,0.5
3,ſent fünffhūdert eyn Iars/ ſchieden wir,fünfhundert eyn Jars/ schieden wir,sent funffhudert eyn Jars  schieden wir,0.2564102564102564,0.6666666666666666,0.6666666666666666
4,von Oliſpppo nach gebott des obgenan¬,von Olisippo nach gebott des obgenan~,von Olisippo nach gebott des obgenans,0.08108108108108109,0.3333333333333333,0.3333333333333333
5,ten künigs mit dryen ſchiffen zuͦ erſuͦchē,ten küniges mit dryen schiffen zu ersúche,ten künigs mit dryen schiffen zu ersuͤchen,0.16666666666666666,0.5714285714285714,0.5714285714285714
6,nuwe land gegen Auſter/ vnd tzweintzig,,1/2,1.0,1.0,1.0
7,Monet on vnderlaß fuͦren wir gegen mittag der ſelben,Anuwe land gegen ẜuster / vnd tzweintzig,Unuwe land gegen Auster / vnd tzweintzig,0.8076923076923077,1.0,0.8888888888888888
8,ſchiffung. vnd fart ordnung vnd wiſe iſt alſo/ Diſe ſchif,Monet on vnderlaß füren wir gegen mittag der selben,Monet on vnderlaß füren wir gegen mittag der selben,0.7719298245614035,1.0,1.0
9,fung iſt geweſen durch die fortunaten Inſalen/ vor ziten,chiffung.vnd fart ordnung vnd wise ist also/ Dise schif,schiffung vnd fart ordnung und wise ist also  Sise schif,0.8214285714285714,1.0,1.0
10,alſo genant/ Aber zuͦ dyſen werden ſy genant die inſulen,fung ist gewesen durch die fortunaten Insalen/ vor ziten,fung ist gewesen durch die fortunaten Insalen/ vor ziten,0.7857142857142857,1.0,0.9
11,magne canarie/ der groſſen Canarie/ die da ſindt im drit,also genant/ Aber zů dysen werden sy genant die insulen,also genant/ Aber zu dysen werden sy genant die insulen,0.7321428571428571,1.0,0.9
12,ten Clima der ſibenfaltigē vßteilung der welt vnd am an,magne canarie / der grossen Canarie / die da sindt im drit,magne canarie / der grossen Canarie / die da sindt im drit,0.8363636363636363,1.1,1.1
13,ſtoß vnd gegē der wonhafftigē landen der ſonnē nyder¬,ten Clima der sibenfaltige vſteilung der welt vnd am an,ten Clima der sibenfaltige vßteilung der welt vnd am an,0.7547169811320755,1.0,0.7777777777777778
14,gangs/ Dannen durch das groß mer Occeanū dē gātzē,stoß vnd gege der wonhafftige landen der sonne nyder,stoß vnd gegen der wonhafftigen landen der sonne nyder¬,0.9183673469387755,1.0,1.0
