line_number,ground_truth,prediction,transkribus,cer,wer,bwer
1,cht bringen am koſten vnnd geſmackt lieplich vnd luͦſtli¬,chrꝛingen am koſten vnnd geſnackt lieplich vnd liſtlich,cht bringen am kosten vnnd gesmackt lieplich vnd luͤstli¬,0.15789473684210525,0.4444444444444444,0.4444444444444444
2,ch vnd den menſchlichen liben nützlich vn̄ komlich/ Da,ch vnd den menſchlichen liben nutzlich vn̄ ſchmͤlich/ Da,ich vnd den menschlichen liben nutzlich vn komlich  Sa,0.09259259259259259,0.2222222222222222,0.2222222222222222
3,gegen ouch ſind etlich anders weſens vnnd keyn fruchtt,gegen ouch ſind etlich anders weſens vnnd ſeyn frucht,gegen ouch sind etlich anders wesens vnnd keyn fruchtt,0.037037037037037035,0.2222222222222222,0.2222222222222222
4,ſynd vnſeran früchten vnd opß gleich/ Da wachßen ou¬,ſynd vnſeran früchten vnd opff gleich/ Da wachſen ou-,synd vnseran früchten vnd opß gleich / Sa wachßen on¬,0.07692307692307693,0.3333333333333333,0.3333333333333333
5,ch über alle zal vil vnd mengerley krüter geſtalten vnd,ch über alle zal vil vnd mengerley krüter gestalten vnd,ich über alle zal vil vnd mengerley krüter gestalten vnd,0.01818181818181818,0.1,0.1
6,wurtzen vß denen ſy brot machen/ vnd die aller beſten ge,wurtzen vß denen ſy brot machen/ vnd die aller beſten ge-,wurtzen vß denen sy brot machen / vnd die allerbesten ge,0.017857142857142856,0.09090909090909091,0.09090909090909091
7,muͤſe haben ſy vnnd vil ſamen diſen vnſern ſamen gantz,miſſe haben ſy vnnd vil ſannen diſen vnſern ſamen ganz,muͤse haben sy vnnd vil samen disen vnsern samen gantz,0.09259259259259259,0.3,0.3
8,vnglich/ Da ſind ouch keynerley metallen vnd geſchmid,ynglich/ Da ſind auch teynerley metallen vnd geſchm,vnglich  Sa sind onch keynerley metallen vnd geschmid,0.09433962264150944,0.5,0.5
9,den̄ allein gold da vō diß region vn̄ land überflieſſen wie,den allein gold da vō diß region vn̄ land überfliessen wie,den allein gold da von diß region vn land überfliessen wie,0.05084745762711865,0.18181818181818182,0.18181818181818182
10,wol wir des nützit mit vnß namen/ In dißer erſten vnſer,wol wir des nützit mir vnſ namen/ In diser erſten vnſer,wol wir des nützit mit vnß namen / In dißer ersten vnser,0.05454545454545454,0.2727272727272727,0.2727272727272727
11,ſchiffart/ Und das ſagen vnß die inwonere vnd ſprachē,schiffart/ Und das sagen vnß die vnwondere vnd sprachē,schiffart  End das sagen vnß die inwonere vnd sprachen,0.09433962264150944,0.4444444444444444,0.4444444444444444
12,das in der mittliſten gegne diſes lands große volle ſie deſ,das in der mittlisten gegne dises lands große volſe deſ,das in der mittlisten gegne dises lands große volle sie des,0.1016949152542373,0.36363636363636365,0.36363636363636365
13,goldes vnd von ienen verachtet vnnd für nicht geſchetzt,godes vnd von jenen verachtet vnnd für nicht geschetze,goldes vnd von ienen verachtet vnnd fur nicht geschetzt,0.07272727272727272,0.3333333333333333,0.3333333333333333
14,werde/ Sye überflüſſig von edelem geſteyn/ Marga¬,werde/ Sye überflüßig von edelem gesteͤyn/ Marga-,werde  Spe überflüssig von edelem gesteyn  Warga¬,0.10204081632653061,0.42857142857142855,0.42857142857142855
15,eiten/ Als ich dyr vor me geſchryben hab/ Wenn ich,eiten/ Als ich dyr vor me geſchryben hab/ Wenn ich,eiten  Als ich dyr vor me geschryben hab  Wenn ich,0.0,0.0,0.0
16,wolt alle vnnd yegliche ding erzellen dye da ſynd vnd,wolt alle vnnd yegliche ding erzellen dye da ſynd vnnd,wolt alle vnnd yegliche ding erzellen dye de synd vnd,0.018867924528301886,0.1,0.1
17,von den on zall mengerley thieren geſchlecht vnnd der,von den on zall mengerley thieren geschlecht vnnd der,von den on zall mengerley thieren geschlecht vnnd der,0.018867924528301886,0.1111111111111111,0.1111111111111111
18,ſelben vile/ Das were eyn ding gar zelang vnd on maß,ſelben vͤle/ Das were eyn ding gar zelang vnd on maſſ,selben vile / Das were eyn ding gar zelang vnd on maß,0.057692307692307696,0.18181818181818182,0.18181818181818182
19,Und ſlechtliche glaub ich das vnßer plimus dem tuſent¬,Und flechtliche glaub ich das vnſer plinnus dem tyſenz,Vnd siechtliche glaub ich das vnßer plimus dem tusent¬,0.12962962962962962,0.4444444444444444,0.4444444444444444
20,teyl nit zuͦkomen ſye/ Des volcks der Sitkuſten vnd der,teyl nit zůkomen ſye/Des volcks der ſitruſten vnd der,teyl nit zuͤkomen sye/ Ses volcks der Sitkusten vnd der,0.09090909090909091,0.4,0.4
21,andern voͤgelen vnnd der thyeren die in den ſelben lan¬,andern vögelen vnnd der thyeren die in den selben lan,andern voͤgelen vnnd der thyeren die in den selben lan¬,0.07272727272727272,0.3,0.3
22,den ſynd Mit ſo mengerley vnderſcheydt der antlitten,den ſynd ſo mengerley vnderscheydt der anſliten,den synd mit so mengerley vnderscheydt der antlitten.,0.1346153846153846,0.375,0.375
23,vnd frouwen das der volkomneſten lyt Maler kunſt ver,vnd frouwen das der volkommenſten lyt Maler kunſt ver,vnd frouwen das der volkomnesten lyt Waler kunst ver,0.038461538461538464,0.1111111111111111,0.1111111111111111
