line_number,ground_truth,prediction,cer,wer
1,über vnd on das in yeglichen oren die mit dryen loͤchern,über vnd on das in yeglichen oren die mit dryen loͤchern,0.0,0.0
2,durch ſtochen ſynd ſy noch ander ſteyn tragen die in rin,durch ſtochen ſynd ſy noch ander ſteyn tragen die in rin,0.0,0.0
3,gen hangen vn̄ diß wiſe vnd ſytten iſt allein der mannē/,gen hangen vn diß wise vnd sytten ist allein der mannē.,0.08928571428571429,0.45454545454545453
4,Den̄ die frowen zerſtechen innen ſelbs ir antlitz nit alſo,Sen die frowen zerstechen innen selbs ir antlitz nit also,0.08620689655172414,0.4
5,mit loͤcherung den alleyn die oren/ Eyn ander ſyt vnd,mit löcherung den alleyn die oren/ Eyn ander ſyt vnd,0.03773584905660377,0.1
6,wyße iſt ouch vnder vnd by ienen gnuͦg abwyſig vn̄ wi¬,wyse ist ouch vnder vnd by ienen gnuͤg abwysig vn̄ wi¬,0.07407407407407407,0.36363636363636365
7,der alle menſchliche glaubung/ Das ir frowen die eben,der alle menſchliche glaubung/ Das ir frowen die eben,0.0,0.0
8,geluſtig vnd geilgirig ſynd/ vnd ieren mannen machen,gelustig vnd geilgirig ſynd/ vnd ieren mannen machen,0.019230769230769232,0.125
9,das ienen ir büch geſchwellen in ſollicher über meſtung,das ienen ir Büch geschwellen in ſollicher über meſtung,0.03636363636363636,0.2222222222222222
10,das ſy/ vngeſtalt vn̄ ſmechlich erſthynen vnd dz tuͦnd ſy,das sy/vngeſtalt vn ſmechlich erſthynen vnd ꝺz tuͤnd ſy,0.08771929824561403,0.5
11,mit ettwas fündē vn̄ gnagung ettlicher gifftigen thierē/,mit ettwas funden vn gnagung ettlicher gifftigen thiere/,0.08928571428571429,0.375
12,Und von ſolicher ſach geſchicht das ierer vil ir gemecht,Vnd von ſolicher ſach geſchicht das ierer vil ir gemecht,0.017857142857142856,0.1
13,verlieren die ienen von mangels wegen der artznye fulē,verlieren die ienen von mangels wegen der artznye fulē,0.0,0.1111111111111111
14,vnd bliben on gemech/ Si haben keyn tuͦch noch teckinē,vnd Bliben on gemech/ Si haben keyn tuͤch noch teckine,0.05555555555555555,0.3
15,weder lynis noch baumwollins/ Denn ſy des nit bedoͤrf,weder lynis noch Baumwollins/ Denn sy des nit bedörf,0.07547169811320754,0.3333333333333333
16,fen vnd haben keyn eygen guͦt/ Sunder alle ding ſind in,fen vnd haben keyn eygen guͤt/ Sunder alle ding sind in¬,0.05454545454545454,0.2727272727272727
17,nen gemein/ Si lebē ſamenhafft on künig on gebieter vn̄,nen gemein. Si leben samenhafft on künig on gebieter vn̄,0.07272727272727272,0.3
18,iſt ir yeglicher im ſelbs herr/ So vil wiber nemen ſy ſo,iſt ir yeglicher im ſelbſt herr/ So vil wißer nemen ſy ſo,0.05357142857142857,0.16666666666666666
19,vil ſy woͤllen/ vnd d̓ ſun mit der muͦter vn̄ der bruͦder mit,vil ſy woͤllen/ vnd ô ſun mit der muͤter vn̄ der bruͤder mit,0.06557377049180328,0.23076923076923078
20,der ſchweſter vnd der erſt mit der erſten vnd der begeg¬,der ſchweſter vnd der erſt mit der erſten vnd der begeg¬,0.0,0.0
21,ner mit der begegneten veruneynigen ſich/ Als dick als,ner mit der begegneten veruneynigen ſich/ Als dick als,0.0,0.0
22,ſy woͤllen ſcheiden ſy die vermehletig ee/ vnd halten in ſo,ſy woͤllen ſcheiden ſy die vermehletig ee/ vnd halten in ſo,0.0,0.0
23,lichem gantz keyn ordnung/ Darumb habē ſy keynen tē¬,lichem gantz keyn ordnung/ Darumb haben ſy keynen te,0.07692307692307693,0.2222222222222222
24,pel vnd halten keyn geſatzt vnd ſind nit abgetere/ Was,pel vnd halten keyn gesatzt vnd sind nit abgetere/Was,0.05555555555555555,0.4
25,ſol ich me ſagē Sy leben nach der natur das ſy wol epi¬,ſol ich me ſage Sy leben nach der natur das ſy wol epi¬,0.01818181818181818,0.07692307692307693
26,curi/ buchfüller genāt werden moͤgen den̄ ſenici/ By inē,curi/ Buchfuͤller genant werden moͤgen den̄ ſenici/ By inc̄,0.125,0.3333333333333333
27,ſind keyn koufflit noch kouffguͦt/ Die ſcharē des volcks,ſind keyn konfflit noch kouffguͤt/ Die ſchare des volcks,0.05357142857142857,0.3333333333333333
28,haben ouch kriege/ vnd on kunſt on ordnung/ Ir elteren̄,haben ouch kriege/ vnd on kunst on ordnung/ Ir elteren,0.03636363636363636,0.2
29,mit yren reten̄ vnnd gebotten vnder byegen die iungen,mit yren reten vnnd gebotten vnder byegen die iungen,0.018867924528301886,0.1111111111111111
30,zuͦ thuͦn was ſy woͤllen vnd rüſten ſie zuͦ ſtryttē in ſolichē,zuͤ thuͤn was sy wöllen vnd rüsten sie zu stryttē in ſolichē,0.14516129032258066,0.75
31,Sy eynandern̄ gruſelich ze tod ſlaen vn̄ welche ſye alſo,Sy eyng derū gruſelich ze tod ſtaen vn welche ſye alſo,0.10714285714285714,0.4
32,im krieg vnd ſtritt fahen die fuͦren ſy hyn mit das ſye die,im krieg vnd ſtritt fahen die füren ſy hyn mit das ſye die,0.03389830508474576,0.07692307692307693
33,by leben ſunder inen ſelbs behalten das ſy da von metzi¬,By leben ſunder inen ſelbs behalten das ſy da von metzi¬,0.017857142857142856,0.09090909090909091
