line_number,ground_truth,prediction,cer,wer
1,geile vn̄ begirig ſind/ ſo legten ſy alle zucht vnd ſcham vō,geile vn begirig sind/ſo legten ſy alle zucht vnd ſcham vō,0.05,0.3333333333333333
2,in zuͦ volbringung boͤſer dingen/ Sy leben wol hundertt,in zuͤ volbungung boͤser dingen/ Sy leben wol hundertt,0.07272727272727272,0.3333333333333333
3,vn̄ fünffzig iar vnd werden ſelten kranck/ Und ob ſy et¬,vn funffzig iar vnd werden selten kranck/ End ob sy et¬,0.08928571428571429,0.45454545454545453
4,wen in kranckheit fallen ſo heilen ſy ſich ſelbs mit ettlithē,wen in kranckheit fallen ſo heilen ſy ſich ſelbs mit ettliche,0.03278688524590164,0.09090909090909091
5,wurtzen der kreüter/ Diß ſind die fürmercklichſten ding,wurtzen der kreüter  Diß sind die fürmercklichſten dinge,0.05454545454545454,0.375
6,die ich by innen geſehen vnd erkant hab/ Der lufft iſt an,Die ich by innen geſehen vnd erkant hab/ Der lufft iſt an,0.017543859649122806,0.08333333333333333
7,dem ende gar geſund vnd wol temperieret vn̄ guͦt/ Und,dem ende gar gesund vnd wol temperieret vn̄ guͤt / End,0.07547169811320754,0.4
8,ſo vil ich vß yrem ſagē verſton kond vnd erkennen mocht,ſo vilich vß yrem ſagen verſton kond vnd erkennen mocht,0.05454545454545454,0.2727272727272727
9,ſo iſt an dem ende nyemer keyn peſtlentz oder eyniche ſie,ſo iſt an dem ende nyemer keyn peſtlentz oder eyniche ſie,0.0,0.0
10,chung die von boͤſem lufft kumpt/ Und wo ſy nit vō fre¬,chung die von bösem lufft kumpt/ Und wo sy nit vo fre¬,0.09090909090909091,0.25
11,felem getzwungenē tod ſterben ſo leben ſy by langē zyten,felem gezwungene tod sterben ſo leben ſy by lange zyten,0.07142857142857142,0.3
12,Ich mein das an dē ende alzeit die mittegigē wynd weyē,Ich mein das an de ende alzeit die mittegigē wynd weyende,0.09259259259259259,0.2727272727272727
13,vnd vorab allermeyſt den wir nennen etwan der inen al¬,vnd voraß allermeyst den wir nennen etwan der inen al¬,0.037037037037037035,0.2
14,ſo iſt wie vnß der mittenechtig wind genāt. Aquilo / Sy,ſo iſt wie vnß der mitternechtig wind genant. Aquilo/ Sve,0.10909090909090909,0.45454545454545453
15,ſind künſtrich mit viſchen vnd viſchfahen/ Und daſſelb,ſind künſtrich mit viſchen vnd viſchfahen/ Vnd daſſelb,0.018518518518518517,0.125
16,mer iſt voͤllig vnd von vil viſchen vnnd von allen vnd al¬,mer iſt völlig vnd von vil viſchen vnnd von allen vnd al,0.05172413793103448,0.16666666666666666
17,lerley viſchen überflüſſig/ Da ſynd nit ieger vn̄ ich mein,lerley viſchen überflüſſig/ Da ſynd nit ieger vn̄ ich mein,0.0,0.0
18,ſo da ſynd vil wilder waldthieren geſchlecht vnd beſund̓,ſo da ſynd vil wilder waldthieren geſchlecht vnd Beſund,0.03571428571428571,0.1111111111111111
19,lowen vnd beren vnd on zall vil ſchlangen vnd anderer,lowen vnd beren vnd onzall vil ſchlangen vnnd anderer,0.03773584905660377,0.3
20,gruſelichen vnd vngeſtalten dieren/ Dar zu vnd als an,gruſelichen vnd vngeſtalten dieren/ Sar zu vnd als an,0.018867924528301886,0.1111111111111111
21,denen enden lang vnd breyt weld vnnd baum über alle,denen enden lang vnd breyt weld vnnd Baum über alle,0.0196078431372549,0.1
22,maß groß vnd ſo ſy nackend ſynd gethuͤren ſy ſich ſolich,maß groß vnd so ſy nackend ſynd gethüren ſy ſich ſolich,0.05357142857142857,0.18181818181818182
23,er dingen nit vnder ſtan on waffen/ Das ertrich diſer,er dingen nit vnderſtan on waſſen/ Das ertrich diſer,0.05660377358490566,0.3
24,landen vnnd region iſt faſt fruchtbar vnd luſtiger an¬,landen vnnd region iſt faſt fruchtbar vnd luſtiger an¬,0.0,0.0
25,ſehung vnd von vil bergen vnd Buͦhelen vnd on zall vil,sehung vnd von vil bergen vnd Buͤhelen vnd onzall vil,0.05555555555555555,0.36363636363636365
26,Theler vnnd mit faſt groſſen flieſſenden waſſeren/ über,Theler vnnd mit faſt groſſen flieſſenden waſſeren/ über,0.0,0.0
27,flüſſig/ Und von guͦten heylſamē brunnen gefuchtet vn̄,flüssig/ End von guͤten heylsame Brunnen gefuchtet vn̄,0.12962962962962962,0.625
28,mit groſſen breytten welden vnnd dick die kum̄ vnnd,mit groſſen breytten welden vnnd dick die kun̄ vnnd,0.0196078431372549,0.1111111111111111
29,ſchwarlich moͤgen durchgangen werden vnnd die von,ſchwarlich moͤgen durchgangen werden vnnd die von,0.0,0.0
30,allerley willden thyeren vnderſcheid voll vnd überſetzt/,allerley wilden thyeren vnderscheid voll vnd überſetzt/,0.03571428571428571,0.2857142857142857
31,Da wachßen ſelbs on alle der lüten zuͦthon vnd arbeytt,Da wachſen ſelbs on alle der lüten züthon vnd arbeytt,0.05555555555555555,0.2
32,die aller groͤſten boum/ Und vnder den ſelben vil die frü,Die aller groͤſten boum/ Vnd vnder den ſelben vil die frü,0.03508771929824561,0.18181818181818182
