line_number,ground_truth,transcription,cer,wer,bwer,document_id,method
1,17 5,Of Simple Assecurative Punishment,8.0,2.0,2.0,071_157_001,mistral
2,Of Simple Merchantile Defraudment,,1.0,1.0,1.0,071_157_001,mistral
3,more advantages than it were to be wished it had over indi:,more advantaged than it was before inasmuch it had over & beside,0.3898305084745763,0.5833333333333334,0.5,071_157_001,mistral
4,:gent merit: and an artificial arrangement of this sort would,what might be called an artificial arrangement of this sort would,0.22950819672131148,0.4,0.4,071_157_001,mistral
5,add to the natural incitements which urge a man from all,add to the natural incitements which urge a man from all,0.0,0.0,0.0,071_157_001,mistral
6,quarters to seek the acquirement of wealth by dishonesty,quarters to seek the acquirement of wealth by dishonesty,0.0,0.0,0.0,071_157_001,mistral
7,and other unworthy means. As to the affections of the peo:,and other means the means to do the aforesaid of the free,0.3793103448275862,0.5454545454545454,0.5454545454545454,071_157_001,mistral
8,less numerous class over the more numerous will na:,"file, in striking and depriving a performance given to that",0.8823529411764706,1.1111111111111112,1.1111111111111112,071_157_001,mistral
9,real: for a man in responsible circumstances may probably,act enumerated vizt over the once enumerated will not,0.8421052631578947,1.0,1.0,071_157_001,mistral
10,in point of fact suffer as much by being deprived of part,actually be but it will relish by the latter.,0.7894736842105263,0.9166666666666666,0.9166666666666666,071_157_001,mistral
11,"of his property, considering the share of reputation that",,1.0,1.0,1.0,071_157_001,mistral
12,"goes along with it, as a man in irresponsible circumstances",The difference it is true is rather apparent than,0.7457627118644068,1.0,1.0,071_157_001,mistral
13,:nishment: and if both were to undergo the same corporal,real: for a man in unsuspicious circumstances may probably,0.8392857142857143,1.0,1.0,071_157_001,mistral
14,"punishment, the punishment, that is the suffering, though",in point of fact suffer as much by being deprived of part,0.8245614035087719,1.5,1.5,071_157_001,mistral
15,":ter.] But this distinction , however real, is too subtle to be gene:",of his property considering the share of reputation that,0.782608695652174,1.0,1.0,071_157_001,mistral
16,"The difference, it is true, is rather apparent than","goes along with it, as a man in suspicious circumstances",0.8431372549019608,1.1111111111111112,1.1111111111111112,071_157_001,mistral
17,would be by being made to undergo a severe corporal pu:,"would do by being made to undergo a severe corporal, or",0.10909090909090909,0.2727272727272727,0.2727272727272727,071_157_001,mistral
18,nominally [the same ] would in reality be much greater to the lat:,punishment: and if both were to undergo the same corporal,0.7575757575757576,1.0,0.7692307692307693,071_157_001,mistral
19,:rally,"punishment, that is the suffering though",6.5,6.0,6.0,071_157_001,mistral
20,":ple, so striking and oppressive a preference given to the",,1.0,1.0,1.0,071_157_001,mistral
21,:turally be but ill relished by the latter.,nominally the same would in reality be much greater to the lat-,0.9534883720930233,1.375,1.25,071_157_001,mistral
22,"equal, very much the reverse.","ter. But this distinction, however real, is too subtle to be gener-",1.8275862068965518,2.4,2.4,071_157_001,mistral
23,C,ally,4.0,1.0,1.0,071_157_001,mistral
