line_number,ground_truth,transcription,cer,wer,bwer,document_id,method
1,C,Of some public Offices in Senegal.,34.0,6.0,6.0,071_133_003,mistral
2,23.,,1.0,1.0,1.0,071_133_003,mistral
3,Of Semi-public Offences in General.,persona or destroys the property of particular individuals knowing the,1.6857142857142857,2.0,2.0,071_133_003,mistral
4,persons or destroys the property of particular individuals among the,same to be not only furnished occasionally for the customary,0.8088235294117647,1.0,0.9,071_133_003,mistral
5,Jews he may be not only punished criminally for the calumny,"thrown on the deck, but made entirely responsible for the particular",0.7457627118644068,0.8181818181818182,0.8181818181818182,071_133_003,mistral
6,"thrown on the Sect, but made civilly responsible for the particular","mischief done to the individual there when persona or property,",0.7910447761194029,1.0,0.9090909090909091,071_133_003,mistral
7,mischief done to the individual Jews whose persons or property,are thus attacked.,0.8709677419354839,1.0,1.0,071_133_003,mistral
8,were thus attacked.,,1.0,1.0,1.0,071_133_003,mistral
9,"As to any farther particulars relative to this head, they",As to any further particulars relative to their hein they,0.10526315789473684,0.3,0.3,071_133_003,mistral
10,of a local nature; and are without the limits of the present under=,must depend upon the particulars they in question they are therefore,0.746268656716418,1.0,0.8461538461538461,071_133_003,mistral
11,:taking work.,,1.0,1.0,1.0,071_133_003,mistral
12,must depend upon the particular class in question. They are therefore,"of a local nature, and without the limits of the present work.",0.7681159420289855,1.0909090909090908,1.0,071_133_003,mistral
13,stand,,1.0,1.0,1.0,071_133_003,mistral
14,of men,can work.,1.3333333333333333,1.0,1.0,071_133_003,mistral
