line_number,ground_truth,transcription,cer,wer,bwer,document_id,method
1,11.,of Legislation.,4.666666666666667,2.0,2.0,071_003_003,mistral
2,C,,1.0,1.0,1.0,071_003_003,mistral
3,Of Justifications.,Civilian.,0.7222222222222222,1.0,1.0,071_003_003,mistral
4,3. Those of a Schoolmaster over his Scholar. See Law of School,,1.0,1.0,1.0,071_003_003,mistral
5,masters and Scholars.,3. Power of a Schoolmaster over his Scholar. The Law of School-,2.2857142857142856,4.0,4.0,071_003_003,mistral
6,5. Those of a Guardian over his Ward . See Law of Guardi:,masters and Scholars.,0.7894736842105263,1.0,1.0,071_003_003,mistral
7,6 Those of Adults over Infants in the same Family. See ib.,,1.0,1.0,1.0,071_003_003,mistral
8,vants - The Law of Apprentices _ Law of Journeymen _ Law,4. Power of a Domestic Preceptor over his Pupil. The Law of,0.8571428571428571,1.0,0.6666666666666666,071_003_003,mistral
9,Justification 6.th Military Powers & Subservience,Preceptors and Pupils.,0.8367346938775511,1.0,1.0,071_003_003,mistral
10,Thereto . _,,1.0,1.0,1.0,071_003_003,mistral
11,Powers which one man may have over the person of,5. Power of a Guardian over his Ward. The Law of Guard-,0.8125,1.1,1.0,071_003_003,mistral
12,these See the Army and the Navy Laws.,ians and Wards.,0.7567567567567568,0.875,0.875,071_003_003,mistral
13,2. Those of a military officer over persons at large in a time,,1.0,1.0,1.0,071_003_003,mistral
14,of,6. Power of a Tutor over Infants in the same Family. The Law of,30.5,13.0,13.0,071_003_003,mistral
15,Children.,Tutors and Infants.,1.7777777777777777,3.0,3.0,071_003_003,mistral
16,4. Those of a Domestic Preceptor over his Pupil . See Law of,,1.0,1.0,1.0,071_003_003,mistral
17,Preceptors and Pupils.,7. Power of a Master over his Servant. The Law of Ser-,2.0,4.0,4.0,071_003_003,mistral
18,Law of Infants.,vants. The Law of Apprentices. Law of Innkeepers. Law of,2.933333333333333,2.6666666666666665,2.6666666666666665,071_003_003,mistral
19,7. Those of a Master over his Servant - See the Law of Ser,Stains. (a),0.9137931034482759,1.0,1.0,071_003_003,mistral
20,of the Slaves. (a),,1.0,1.0,1.0,071_003_003,mistral
21,another on a military account are,Legislation C. Military Power. (obedience),0.8484848484848485,1.0,1.0,071_003_003,mistral
22,1. Those of a military Superior over his Subordinates. For,,1.0,1.0,1.0,071_003_003,mistral
23,Constitutional Code - Laws ofof,Power.,0.9354838709677419,1.0,1.0,071_003_003,mistral
24,:ans and Wards.,,1.0,1.0,1.0,071_003_003,mistral
25,ib.,Power which one man may have over the person of,15.333333333333334,10.0,10.0,071_003_003,mistral
26,ib.,another on a military account are,10.666666666666666,6.0,6.0,071_003_003,mistral
27,ib.,,1.0,1.0,1.0,071_003_003,mistral
28,ib.,1. Power of a military Sovereign over his subordinate. For,18.333333333333332,10.0,10.0,071_003_003,mistral
29,Note.,consultation. See the Law of,5.0,5.0,5.0,071_003_003,mistral
30,(a),those who sit his Army and the Navy. (a),12.333333333333334,8.0,8.0,071_003_003,mistral
31,There ought to be a separate Title for every species,,1.0,1.0,1.0,071_003_003,mistral
32,of servant which has any Article of Law peculiar to it.,2. Power of a military officer over persons at large. In a time of,0.9454545454545454,1.1818181818181819,1.0909090909090908,071_003_003,mistral
