line_number,ground_truth,transcription,cer,wer,document_id,method
1,It glucklicher fart Am vier,It glucklicher hart Flm vier,0.1111111111111111,0.4,7474186,transkribus
2,zehenden tag des monats Mayen/ Tu¬,zehenden tag des monats Mayen / Lu¬,0.058823529411764705,0.5,7474186,transkribus
3,ſent fünffhūdert eyn Iars/ ſchieden wir,"sent funffhudert eyn Jars, schieden wir",0.15384615384615385,0.6666666666666666,7474186,transkribus
4,von Oliſpppo nach gebott des obgenan¬,von Olisippo nach gebott des obgenans,0.08108108108108109,0.3333333333333333,7474186,transkribus
5,ten künigs mit dryen ſchiffen zuͦ erſuͦchē,ten künigs mit dryen schiffen zu ersuͤchen,0.14285714285714285,0.42857142857142855,7474186,transkribus
6,nuwe land gegen Auſter/ vnd tzweintzig,1/2,0.9736842105263158,1.0,7474186,transkribus
7,Monet on vnderlaß fuͦren wir gegen mittag der ſelben,Unuwe land gegen Auster / vnd tzweintzig,0.8076923076923077,1.0,7474186,transkribus
8,ſchiffung. vnd fart ordnung vnd wiſe iſt alſo/ Diſe ſchif,Monet on vnderlaß füren wir gegen mittag der selben,0.7719298245614035,1.0,7474186,transkribus
9,fung iſt geweſen durch die fortunaten Inſalen/ vor ziten,"schiffung vnd fart ordnung und wise ist also, Sise schif",0.8392857142857143,1.1111111111111112,7474186,transkribus
10,alſo genant/ Aber zuͦ dyſen werden ſy genant die inſulen,fung ist gewesen durch die fortunaten Insalen/ vor ziten,0.7857142857142857,1.0,7474186,transkribus
11,magne canarie/ der groſſen Canarie/ die da ſindt im drit,also genant/ Aber zu dysen werden sy genant die insulen,0.7321428571428571,1.0,7474186,transkribus
12,ten Clima der ſibenfaltigē vßteilung der welt vnd am an,magne canarie / der grossen Canarie / die da sindt im drit,0.8363636363636363,1.1,7474186,transkribus
13,ſtoß vnd gegē der wonhafftigē landen der ſonnē nyder¬,ten Clima der sibenfaltige vßteilung der welt vnd am an,0.7547169811320755,1.0,7474186,transkribus
14,gangs/ Dannen durch das groß mer Occeanū dē gātzē,stoß vnd gegen der wonhafftigen landen der sonne nyder¬,0.9387755102040817,1.0,7474186,transkribus
15,ſtaden affricum vn̄ eyn teil der Moͤren lands durchren̄t,"gangs, Sannen durch das groß mer Occeanum de gantzen",0.7857142857142857,1.0,7474186,transkribus
16,biß zuͦ den hochbergen der Moren ſo alſo von Ptolomeo,staden affricum vn eyn teil der Moͤren lands durchrent,0.8113207547169812,1.0,7474186,transkribus
17,genēpt wirt/ Das zuͦ dißen zeitē von den vnſern dz grün̄,biß zu den hochbergen der Moren so also von Ptolomeo,0.8214285714285714,1.0,7474186,transkribus
18,houpt genempt wirt/ vn̄ von den Morē beſeglitte/ vnd,genenpt wirt / Das zu dißen zeite von den vnsern dz grijn,0.7884615384615384,1.1111111111111112,7474186,transkribus
19,die ſelbe lantſchafft Mandinglia vierzehē gradus innert,haupt genempt wirt / vn von den Horen beseglitte / vnd,0.8727272727272727,1.5714285714285714,7474186,transkribus
20,der krummen ſchnuͦr genāt Torrida zona/ von der lyniē,die selbe lantschafft Mandinglia vierzehen gradus innert,0.8301886792452831,1.0,7474186,transkribus
21,equinoctiali gegen Mitternacht die von ſchwartzen lü¬,der krummen schnuͤr genaͤt Torrida zona / von der lymen,0.8490566037735849,1.2857142857142858,7474186,transkribus
22,ten vnd voͤlckern bewōt wirt/ da ſelbs nach raſtung vn̄,equinoctiali gegen Mitternacht die von schwartzen lii¬,0.8,1.0,7474186,transkribus
23,widerlabung vnſer krafft vnnd nottürfftiger dingen zuͦ,ten vnd volckern bewot wirt / da selbst nach rastung vn̄,0.8703703703703703,1.5714285714285714,7474186,transkribus
24,vnſer ſchiffung/ huͦben wir die encker vff vn̄ zertan̄tē die,widerlabung vnser krafft vnnd notturfftiger dingen zu,0.7666666666666667,1.0,7474186,transkribus
25,ſegel in winde vnd in vnſern weg durch das allerwildeſt,vnser schiffung/ huͤben wir die encker vff vn zertanten die,0.8545454545454545,1.0,7474186,transkribus
26,groß mere Occeanum/ vnd fuͦrē gegen dem wider sibēge,segel in winde vnd in vnsern weg durch das allerwildest,0.8269230769230769,1.0,7474186,transkribus
27,ſtirn gen Ancarticies/ ein wenig gegē der Sonnē nyder,"groß mere Occeanum, vnd füren gegen dem wider siͤbege",0.7547169811320755,1.0,7474186,transkribus
28,gang wandten wir durch den wynd genant vulturnus,stirn gen Ancarticies/ ein wenig gegen der Sonnen nyder,0.875,1.125,7474186,transkribus
29,vnd von dem tag als wir abſchieden von dē gemelten ho,gang wandten wir durch den wynd genant vulturnus,0.6792452830188679,0.9090909090909091,7474186,transkribus
30,chgebürg zwen Monet vn̄ drig tag ſchyfften wir ee das,vnd von dem tag als wir abschieden von de gemelten ho,0.8490566037735849,1.1,7474186,transkribus
31,vnß land oder ertrich ze ſehen ward/ Was wir aber in ſo,chgebürg zwen Monet vn̄ drig tag schyfften wir ee das,0.8,0.9166666666666666,7474186,transkribus
32,licher willde des Mers/ gelitten haben/ vnd was ſorgkli¬,vnß land oder ertrich ze sehen ward / Was wir aber in so,0.75,1.4444444444444444,7474186,transkribus
33,A ii,licher wilde des Mers / gelitten haben / und was sorgkli¬,13.5,5.5,7474186,transkribus
