line_number,ground_truth,prediction,cer,wer,bwer
1,Of Family Imposture.,Family Imposture.,0.15,0.3333333333333333,0.3333333333333333
2,husband. This probability will be weakened only  not destroy=,husband: This probability will be weakened only  not destroy.,0.03278688524590164,0.2222222222222222,0.2222222222222222
3,:ed  by the intervention of an Adulterer. It may indeed be perfect=,-ed  by the intervention of an Adulterer. It may indeed be perfect.,0.029850746268656716,0.16666666666666666,0.16666666666666666
4,:ly destroyed by facts which prove the impossibility of a con=,ly destroyed by facts which prove the impossibility of a con=,0.016129032258064516,0.09090909090909091,0.09090909090909091
5,:jugal intercourse with the husband; such an absence or in=,=jugal intercourse with the husband; such as absence or in-,0.05084745762711865,0.3,0.3
6,:disposition. But such facts are commonly notorious at the time;,:disposition. But such facts are commonly notorious at the time ,0.015625,0.1,0.1
7,in particular they must necessarily be known at the time to the,in particular they must necessarily be known at the time to the,0.0,0.0,0.0
8,party most interested in the case  viz: the Husband: so that if,party most interested in the case  viz: the Husband: so that if,0.0,0.0,0.0
9,they are not brought to light at the very time  they are never,they are not brought to light at the very time  they are never,0.0,0.0,0.0
10,brought to light at all. But the fact of a suppositio partus,brought to light at all. But the fact of a suppositio partus,0.0,0.0,0.0
11,may be brought to light at any distance of time by the treach=,may be brought to light at any distance of time by the breach,0.03225806451612903,0.07692307692307693,0.07692307692307693
12,:ery or repentance of persons privy to the imposture. The,:cry or repentance of persons privy to the imposture. The,0.017543859649122806,0.1,0.1
13,former case is therefore is attended with much less mis-,former case is therefore is attended with much less mis,0.017857142857142856,0.1,0.1
14,-chief than the latter.,chief than the latter.,0.043478260869565216,0.25,0.25
15,7.,,1.0,1.0,1.0
16,C,,1.0,1.0,1.0
