line_number,ground_truth,transcription,cer,wer,bwer,document_id,method
1,17 5,C.,1.0,1.0,1.0,071157001,openai
2,Of Simple Merchantile Defraudment,Of Simple Mercantile Depradment,0.09090909090909091,0.5,0.5,071157001,openai
3,more advantages than it were to be wished it had over indi:,,1.0,1.0,1.0,071157001,openai
4,:gent merit: and an artificial arrangement of this sort would,more advantage than it were to be wished it had over indi-,0.819672131147541,1.2,1.2,071157001,openai
5,add to the natural incitements which urge a man from all,gent merit: and an artificial arrangement of this sort would,0.8392857142857143,1.0,1.0,071157001,openai
6,quarters to seek the acquirement of wealth by dishonesty,add to the natural inducements which urge a man from all,0.8035714285714286,1.1111111111111112,1.0,071157001,openai
7,and other unworthy means. As to the affections of the peo:,quarters to seek the acquisition of wealth by dishonesty,0.8275862068965517,0.9090909090909091,0.7272727272727273,071157001,openai
8,less numerous class over the more numerous will na:,and other unworthy means. As to the affections of the peo-,0.8627450980392157,1.1111111111111112,1.1111111111111112,071157001,openai
9,real: for a man in responsible circumstances may probably,"ple, so striking and oppressive a preference given to the",0.7894736842105263,1.1111111111111112,1.0,071157001,openai
10,in point of fact suffer as much by being deprived of part,less numerous class over the more numerous will na-,0.8245614035087719,1.0,1.0,071157001,openai
11,"of his property, considering the share of reputation that",turally be but ill relished by the latter.,0.7894736842105263,1.0,0.8888888888888888,071157001,openai
12,"goes along with it, as a man in irresponsible circumstances",,1.0,1.0,1.0,071157001,openai
13,:nishment: and if both were to undergo the same corporal,"The difference, it is true, is rather apparent than",0.8035714285714286,1.0,1.0,071157001,openai
14,"punishment, the punishment, that is the suffering, though",real: for a man in responsible circumstances may probably,0.9122807017543859,1.125,1.125,071157001,openai
15,":ter.] But this distinction , however real, is too subtle to be gene:",in point of fact suffer as much by being deprived of part,0.8405797101449275,1.0,1.0,071157001,openai
16,"The difference, it is true, is rather apparent than","of his property, considering the share of reputation that",0.803921568627451,1.0,1.0,071157001,openai
17,would be by being made to undergo a severe corporal pu:,"goes along with it, as a man in irresponsible circumstances",0.8545454545454545,1.0,0.9090909090909091,071157001,openai
18,nominally [the same ] would in reality be much greater to the lat:,would be by being made to undergo a severe corporal pu-,0.7727272727272727,1.0,0.7692307692307693,071157001,openai
19,:rally,nishment: and if both were to undergo the same corporal,8.666666666666666,10.0,10.0,071157001,openai
20,":ple, so striking and oppressive a preference given to the","punishment, the punishment, that is the suffering, though",0.8448275862068966,1.0,0.9,071157001,openai
21,:turally be but ill relished by the latter.,"equal, very much the worse,",0.6976744186046512,0.875,0.875,071157001,openai
22,"equal, very much the reverse.",nominally (the same) would in reality be much greater to the lat-,1.7241379310344827,2.0,2.0,071157001,openai
23,C,"ter. But this distinction, however real, is too subtle to be gene-",66.0,12.0,12.0,071157001,openai
