line_number,ground_truth,transcription,cer,wer,bwer,document_id,method
1,Of Family Imposture.,C,1.0,1.0,1.0,071112003,mistral
2,"husband. This probability will be weakened only, not destroy=",,1.0,1.0,1.0,071112003,mistral
3,":ed, by the intervention of an Adulterer. It may indeed be perfect=",0,1.0,1.0,1.0,071112003,mistral
4,:ly destroyed by facts which prove the impossibility of a con=,Family Impotence.,0.8709677419354839,1.0,1.0,071112003,mistral
5,:jugal intercourse with the husband; such an absence or in=,,1.0,1.0,1.0,071112003,mistral
6,:disposition. But such facts are commonly notorious at the time;,"husband. This probability will be weakened only, not destroy-",0.84375,1.0,1.0,071112003,mistral
7,in particular they must necessarily be known at the time to the,ed by the introduction of an adulterer. It may indeed be perfect-,0.873015873015873,1.0,0.8333333333333334,071112003,mistral
8,"party most interested in the case, viz: the Husband: so that if",ly destroy'd by facts which prove the impossibility of a con-,0.8095238095238095,0.9166666666666666,0.9166666666666666,071112003,mistral
9,"they are not brought to light at the very time, they are never","jugal intercourse with the husband, such as absence or im-",0.7903225806451613,1.0,0.9230769230769231,071112003,mistral
10,brought to light at all. But the fact of a suppositio partus,prisonment. But such facts are commonly notorious at the time,0.85,1.0,0.75,071112003,mistral
11,may be brought to light at any distance of time by the treach=,in particular they must necessarily be known at the time to the,0.7741935483870968,0.8461538461538461,0.6153846153846154,071112003,mistral
12,:ery or repentance of persons privy to the imposture. The,"party most interested in the case, viz. the Husband: so that if",0.8421052631578947,1.1,1.1,071112003,mistral
13,former case is therefore is attended with much less mis-,"they are not brought to light at his very time, they are never",0.875,1.3,1.3,071112003,mistral
14,-chief than the latter.,brought to light at all. But the fact of a supposititious paternity,2.260869565217391,2.75,2.75,071112003,mistral
15,7.,may be brought to light at any distance of time by the husb-,30.0,13.0,13.0,071112003,mistral
16,C,and or appearance of persons privy to the imposition. The,57.0,10.0,10.0,071112003,mistral
