line_number,ground_truth,prediction,transkribus,cer,wer,bwer
1,keit gottes vmbſcheyn vnß da wir diſen landen zuͦ kamē,Leit gottes vmbscheyn vns da wir disen landen zi kam,keit gottes vmbscheyn vnß da wir disen landen zū kamen,0.12962962962962962,0.6,0.6
2,den̄ vns was abgangen an holtz an waſſer/ vnnd hetten,den vns was abgangen an holtz an wasser/vnd betten,den̄ vns was abgangen an holtz an wasser / vnnd hetten,0.11320754716981132,0.4,0.4
3,noch wenig tag moͤgen bliben/ vnd vff dem mere vnßer,noch wenig tagmōgen Bliben/vnd vff dem mere vnser,noch wenig tag moͤgen bliben / vnd vff dem mere vnßer,0.11538461538461539,0.5,0.5
4,leben enthalten/ Im ſie ere vnd glorig vnd danck geſagt/,leben enthalten / Im sicre vnd gloria vnd danckt gesagt,leben enthalten / Im sie ere vnd gloria vnd danck gesagt /,0.16071428571428573,0.7,0.6
5,Wir wurden da zerate dz wir fuͦrē nach dem begriff des,Wir wurden da zerate dz wir fiͤr nach dem begriff des,Wir wurden da zerate das wir füren nach dem begriff des,0.05555555555555555,0.09090909090909091,0.09090909090909091
6,ſtaden vn̄ des lands diſer lantſchafft gegē der Sonnen,Staden vit des lands diser lantschafft gege der Sonnen,staden vn des lands diser lantschafft gegen der Sonnen,0.1111111111111111,0.5555555555555556,0.5555555555555556
7,vffgang vn̄ die anſehung ſolichs lands nyemer ze laſſen/,wolffgang von die anschung solichs lands nyemer ze lassen,vffgang vn die ansehung solichs lands nyemer ze lassen ,0.19642857142857142,0.5555555555555556,0.5555555555555556
8,Und zuͦ ſtundan durch fuͦren wir das/ damit wir kamē,Vnd zū stvndan durch fīren wir das/damit wir kaͤme,End zu stundan durch füren wir das / damit wir kamen,0.19230769230769232,0.7,0.7
9,zuͦ einem winckel/ da das land eyn inkere machet gegen,zuͤ emēn winctel/da das land eyn intere machet gegen,zu einem winckel/ da das land eyn inkere machet gegen,0.14814814814814814,0.5,0.5
10,mittag vnd von der ſtatt da wir am erſten das land traf,mittag vnd von der statt da wir am erſten das land tra,mittag vnd von der statt da wir am ersten das land traf,0.03636363636363636,0.16666666666666666,0.16666666666666666
