line_number,ground_truth,prediction,transkribus,cer,wer,bwer
1,cher verderbung ſchiffbruchē was liplicher vnfuͦrē wyr,cher verderbung schiffbruͤche was liplicher vnsiͤre wyr,cher verdersung schiffbruchen was liplicher vnfuͤren wyr,0.12962962962962962,0.2857142857142857,0.2857142857142857
2,gelitten habē/ Und mit was angſtē vnſers gemuͤtes wir,gelitten habē / Vnd mit was angste vnsers gemütes mit,gelitten haben / End mit was angsten vnsers gemuͤtes wir,0.16981132075471697,0.7777777777777778,0.7777777777777778
3,gearbeit habē/ mein ich/ gib ich denen ze bedenckē die vß,gearbeit habe/mein ich/gib ich denen ze bedencke die v̄,gearbeit habę/ mein ich / gib ich denen ze bedencken die vß,0.08771929824561403,0.5454545454545454,0.5454545454545454
4,vil dingen erfarūg wol wiſſen/ waſda ſie vngewiſſe ding,wil dingen erfar̄ w̄ol wissen/waſda ſie vngewiſſe ding,vil dingen erfarumg wol wissen / wasda sie vngewisse ding,0.12727272727272726,0.5555555555555556,0.5555555555555556
5,ſuͦchen/ vnnd nit wiſſen ob die ſien zuͦ erfaren/ Und das,v̄n̄den nit wissen ob die sien zů ersaren / Vnd das,suchen vnnd nit wissen ob die sien zu erfaren  Und das,0.3333333333333333,0.7272727272727273,0.6363636363636364
6,ich mit eynem wort alle ding begriffe/ ſolt du wiſſen das,ich mit eynem wort alle ding Begriffe / solt du wissendas,ich mit eynem wort alle ding begriffe  solt du wissendas,0.10526315789473684,0.45454545454545453,0.36363636363636365
7,in Sechtzig tagen vnnd ſiben tagen die wir ſchiffeten,in Sechzig tagen vnnd siben tagen die wir schifften,in Sechtzig tagen vnnd siben tagen die wir schiffeten,0.07547169811320754,0.3333333333333333,0.3333333333333333
8,vier vnd viertzig tag on vnderlaß an einander gehept ha,vier vnd viertzig tag on vnderlass an einander gehept ha,vier vnd viertzig tag on vnderlaß an einander gehept ha,0.03636363636363636,0.1,0.1
9,ben mit regen tonnern vnd blitzgen ſo gar finſter dz wir,ben mit regen tommern vnd blitzgen so gar finster dz wir,ben mit regen tonnern vnd Elitzgen so gar finster dz wir,0.07142857142857142,0.2727272727272727,0.2727272727272727
10,weder Sonnē im tag noch liechtē hymel in der nacht nie,weder Sonne im tag noch liechte hymel in der nacht nie,weder Sonnen im tag noch liechten hymel in der nacht nie,0.037037037037037035,0.18181818181818182,0.18181818181818182
11,geſehen haben/ Da von ſo geſchach dz vns ſolicher groſ¬,geschen haben. Da von so geschach dz uns solicher grosz,gesehen haben. Da von so geschach dz vns solicher gros¬,0.16363636363636364,0.7,0.7
12,ſer ſchrecken infiel dz wir gar nach alle hoffnung vnſers,ser schreckten infiel dz wir gar nach alle hoffnung vnsers,ser schrecken infiel dz wir gar nach alle hoffnung vnsers,0.07017543859649122,0.3,0.3
13,lebens hinwurffen/ In ſoͤlichen angſten dennoch vn̄ ſo,lebenshinwurſſen / In ſolichen angſten dennoch vn ſo,lebens hinwurffen  In sölichen angsten dennoch vn so,0.1111111111111111,0.5,0.5
