line_number,ground_truth,prediction,cer,wer
1,Alberics Ueſpuccius Laurentio,Albericus Vespuccius Laurentio,0.10344827586206896,0.6666666666666666
2,Petri Franciſci de Medicis vil gruͦß.,Petri Francisci de Medicis vil gruͤß.,0.05405405405405406,0.3333333333333333
3,N vergangnen tagē hab ich dir ebē wit geſchri¬,N vergangnen tage hab ich dir ebē wit geschri¬,0.043478260869565216,0.3333333333333333
4,ben von miner widerfart von den nüwen lant¬,ben von miner widerfart von den nüwen lant,0.023255813953488372,0.125
5,ſchafften die ich mit Claſſen verſambneter ſchif,schaffſſen die ich mit Clſſen verſambneter ſchif,0.08333333333333333,0.2857142857142857
6,fen mit ſchwerem koſten von gebot des Durchlichtigo¬,fen mit schʒwerem kosten von gebot des Durchlichtigo¬,0.057692307692307696,0.25
7,ſten Künigs von portigal durchſuͦcht haben vnd fundē,sten Künigs von portigal durchsicht haben vnd funden,0.11538461538461539,0.375
8,Die man mag die Nuwen welt nennen/ So by vnſern̄,Die man mag die Nuwen welt nenn̄en / So by vn̄ern,0.08333333333333333,0.3
9,vorfarn̄ vettern̄ dauon keyn wiſſen geweſen/ vnd allen dē,vorſarn vettern dauon keyn wißen gewſen / vnd allen de,0.14035087719298245,0.6666666666666666
10,die ſolichs hoͤren eyn aller ding nuws ſy/ Sunder ouch,die solichs hoͤren eyn aller ding nuws sy / Sunder ouch,0.05555555555555555,0.3
11,das alle wenung vnßer eltern über trüfft ſo doch der mer,die fol̄lich hoͤhen eȳn̄w̄altz dinḡ nuͤn̄tz̄. Sō das alle wenung vnßer eltern über trúfft̄t̄ so doch der mer,0.9642857142857143,0.8181818181818182
12,teyl der ſelben ſpricht/ das über die glichmitnechtige ly¬,teyl der selben spricht/ das über die glichmitnechtige ly¬,0.034482758620689655,0.2222222222222222
13,nien genant Equinoctialis. vn̄ gegē mittag keyn wonūg,nien genant Equinoctialis. vn̄ gege mittag keyn wonnge,0.05660377358490566,0.25
14,d̓ litten ſunder alleyn dz groſ mer inhaltē/ Das ſy nennē,ſ litten suͤnder alleyn d̄zgrosmer inhalten / Das ſy nenne,0.21052631578947367,0.6363636363636364
15,das Attlandiſch mer/ Und ob yemand der ſelbē wonun,das Attlandisch mer/ Vnd ob yemand der selbe wonun,0.08,0.3333333333333333
16,gen daſelbs ſyn geredt ſo habē ſy doch vß vil ſachen das,gen daselbs syn geredt so habē ſy doch vſ vil sachen das,0.08928571428571429,0.4166666666666667
17,da wonhafftig land vnd ertrich ſy widerredt/ Aber dz ſo,Da wonhafftig land vnd ertrich sy widerredt / Aber dz so,0.07272727272727272,0.5
18,lich ir wenen falſch vn̄ der worheit widerig ſy in alle weg,da toonhafftig lude thet cleyn  y willede  lich ir wenen falsch vn der worheit widerig sy in alle weg,0.7796610169491526,0.8333333333333334
19,hat diß mindeſte ſchiffung bewyßt/ So ich in den ſelben,hat diß min̄ēste schifffung bewyst  So ich in den selben,0.14545454545454545,0.4
20,gegnūgen gegen mittag menſchliche inwonung funden,gegnugen gegen mittag menschliche inwonung funden,0.04081632653061224,0.3333333333333333
21,hab mit vil volcks vnd vil thieren bewert/ den̄ vnſer euro,geſeyten geſegen muͤtig muͤtig / hab mit vil volcks vnd vil thieren bewert / den vnser euro,0.6206896551724138,0.8181818181818182
22,pa oder Aſiam oder Affricam/ vnnd ſo vil me geſunden,pa oder Aſiam oder Affrican  vnnd ſo vil me geſunden,0.038461538461538464,0.1
23,temperierten lufft ſchon vnd luter me vnd luſtiger denn,temperierten lufft schon vnd luter me vnd lustiger denn,0.03636363636363636,0.2222222222222222
24,in eynicher andern lantſchafft die wir wiſſen/ Als du har,in eynicher andern lantschaffte die wir wissen/ Als du har,0.07017543859649122,0.2
25,nach ſehen vnd verſtan würſt ſo ich kurtz die obern̄ ding,nach ſehen vnd verſtan würſt ſo ich kurtz die oberſ ding,0.03508771929824561,0.09090909090909091
26,beſchriben vnd die ding ſo vermerckens vnd gedechtniß,Beschriben vnd die dingso vermer:tens vnd gedenchtniß,0.1320754716981132,0.625
27,aller würdigeſt vn̄ von mir geſehen oder gehoͤrt in dißer,deßf̄allen thet einigf̄e rehtmæß und einig aller mürdigest vn von mir gesehen oder gehort in disser,0.8771929824561403,1.1
28,nüwen welt ſind/ Als harnach gezeygt würt.,niͤwen welt sind / Als harnach gezeygt wirt,0.14285714285714285,0.5714285714285714
