line_number,ground_truth,prediction,cer,wer,bwer
1,11.,,1.0,1.0,1.0
2,C,,1.0,1.0,1.0
3,Of Justifications.,of Justifications,0.1111111111111111,1.0,1.0
4,3. Those of a Schoolmaster over his Scholar. See Law of School,Those of a Schoolmaster over his Scholar. See Law of Schools,0.06451612903225806,0.16666666666666666,0.16666666666666666
5,masters and Scholars.,masters and Scholars.,0.0,0.0,0.0
6,5. Those of a Guardian over his Ward . See Law of Guardi:,Those of a Guardian over his Ward. See Law of Guardians and Ward.,0.2982456140350877,0.46153846153846156,0.3076923076923077
7,6 Those of Adults over Infants in the same Family. See ib.,Those of Adults even Infants in the same Family. See the Law of Infants.,0.3793103448275862,0.5,0.4166666666666667
8,vants - The Law of Apprentices _ Law of Journeymen _ Law,Servants - The Law of Apprentices - Law of Journeymen - Law,0.08928571428571429,0.25,0.25
9,Justification 6.th Military Powers & Subservience,Justification 6th. Military Powers & Subservience,0.04081632653061224,0.16666666666666666,0.16666666666666666
10,Thereto . _,Thereto.,0.2727272727272727,1.0,1.0
11,Powers which one man may have over the person of,Powers which one man may have over the person of,0.0,0.0,0.0
12,these See the Army and the Navy Laws.,these see the Army and the Navy Laws,0.05405405405405406,0.25,0.25
13,2. Those of a military officer over persons at large in a time,Those of a military officer over persons at large in a time,0.04838709677419355,0.07692307692307693,0.07692307692307693
14,of,,1.0,1.0,1.0
15,Children.,Children.,0.0,0.0,0.0
16,4. Those of a Domestic Preceptor over his Pupil . See Law of,4. Those of a Domestic Preception over his Pupil. See Law of,0.05,0.23076923076923078,0.23076923076923078
17,Preceptors and Pupils.,Preceptors and Pupils.,0.0,0.0,0.0
18,Law of Infants.,Law of Infants.,0.0,0.0,0.0
19,7. Those of a Master over his Servant - See the Law of Ser,Those of a Master over his Servant - See the Law of Ser,0.05172413793103448,0.07142857142857142,0.07142857142857142
20,of the Slaves. (a),of the Slaves.,0.2222222222222222,0.25,0.25
21,another on a military account are,another on a military account are,0.0,0.0,0.0
22,1. Those of a military Superior over his Subordinates. For,1. Tho' of a military Superior over his Subordinates. For Constitutional Code. Laws.,0.5,0.4,0.4
23,Constitutional Code - Laws ofof,Constitutional Code. Laws of,0.12903225806451613,0.6,0.6
24,:ans and Wards.,: and and Wards,0.2,1.0,1.0
25,ib.,,1.0,1.0,1.0
26,ib.,,1.0,1.0,1.0
27,ib.,,1.0,1.0,1.0
28,ib.,II.,0.6666666666666666,1.0,1.0
29,Note.,the,0.8,1.0,1.0
30,(a),(a),0.0,0.0,0.0
31,There ought to be a separate Title for every species,There ought to be a separate Title for every species,0.0,0.0,0.0
32,of servant which has any Article of Law peculiar to it.,of servant which has any Article of Law peculiar to it.,0.0,0.0,0.0
