line_number,ground_truth,prediction,cer,wer,bwer
1,C,,1.0,1.0,1.0
2,23.,,1.0,1.0,1.0
3,Of Semi-public Offences in General.,Of Semi-public Offences in General,0.02857142857142857,0.2,0.2
4,persons or destroys the property of particular individuals among the,persons or destroys the property of particular individuals among the,0.0,0.0,0.0
5,Jews he may be not only punished criminally for the calumny,Jews he may be not only punished criminally for the calumny,0.0,0.0,0.0
6,thrown on the Sect  but made civilly responsible for the particular,Thrown on the Sect  but made civilly responsible for the particular,0.014925373134328358,0.09090909090909091,0.09090909090909091
7,mischief done to the individual Jews whose persons or property,mischief done to the individual 5eors whose persons or property,0.04838709677419355,0.1,0.1
8,were thus attacked.,were thus attached.,0.05263157894736842,0.3333333333333333,0.3333333333333333
9,As to any farther particulars relative to this head  they,As to any farther particulars relative to this head  they,0.0,0.0,0.0
10,of a local nature; and are without the limits of the present under=,of a local nature; and can without the limits of the present work,0.11940298507462686,0.15384615384615385,0.15384615384615385
11,:taking work.,therefore worth.,0.8461538461538461,1.0,1.0
12,must depend upon the particular class in question. They are therefore,must defend upon the particular class in question. They are therefore,0.014492753623188406,0.09090909090909091,0.09090909090909091
13,stand,stand,0.0,0.0,0.0
14,of men,of men,0.0,0.0,0.0
